nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAS 3 KALAM KUDUS,20101327,SMA,Swasta,157,13,Kebon Jeruk,Kota Jakarta Barat
SMAS CENGKARENG 1,20101329,SMA,Swasta,375,20,Cengkareng,Kota Jakarta Barat
SMAS CANDRA NAYA,20101330,SMA,Swasta,114,10,Tambora,Kota Jakarta Barat
SMAS BUNDA HATI KUDUS,20101332,SMA,Swasta,288,24,Grogol Petamburan,Kota Jakarta Barat
SMAS BUDI MURNI 2,20101334,SMA,Swasta,205,11,Kebon Jeruk,Kota Jakarta Barat
SMAS BHINEKA TUNGGAL IKA,20101337,SMA,Swasta,83,9,Tambora,Kota Jakarta Barat
SMAS BAPTIS CENGKARENG INDAH,20101339,SMA,Swasta,51,8,Cengkareng,Kota Jakarta Barat
SMAS AL HUDA CENGKARENG,20101340,SMA,Swasta,898,35,Cengkareng,Kota Jakarta Barat
SMAS DAMAI,20101342,SMA,Swasta,59,13,Tambora,Kota Jakarta Barat
SMAS DHAMMASAVANA,20101343,SMA,Swasta,43,5,Tambora,Kota Jakarta Barat
SMAS KRISTEN PANCARAN BERKAT,20101346,SMA,Swasta,86,7,Grogol Petamburan,Kota Jakarta Barat
SMAS ISLAM TAMBORA,20101348,SMA,Swasta,195,11,Tambora,Kota Jakarta Barat
SMAS IP YAKIN,20101349,SMA,Swasta,151,14,Cengkareng,Kota Jakarta Barat
SMAS HARAPAN JAYA,20101350,SMA,Swasta,152,12,Cengkareng,Kota Jakarta Barat
SMAS 3 GALATIA,20101352,SMA,Swasta,67,8,Kali Deres,Kota Jakarta Barat
SMAS FATAHILLAH,20101353,SMA,Swasta,195,11,Grogol Petamburan,Kota Jakarta Barat
SMAS FAJRUL ISLAM,20101354,SMA,Swasta,260,16,Kali Deres,Kota Jakarta Barat
SMAS SAN MARINO,20101467,SMA,Swasta,107,11,Kali Deres,Kota Jakarta Barat
SMAN 95 JAKARTA,20101584,SMA,Negeri,1004,51,Kali Deres,Kota Jakarta Barat
SMAN 94 JAKARTA,20101585,SMA,Negeri,672,36,Kali Deres,Kota Jakarta Barat
SMAN 84 JAKARTA,20101587,SMA,Negeri,781,46,Kali Deres,Kota Jakarta Barat
SMAN 65 JAKARTA,20101589,SMA,Negeri,632,34,Kebon Jeruk,Kota Jakarta Barat
SMAN 57 JAKARTA,20101604,SMA,Negeri,671,33,Kebon Jeruk,Kota Jakarta Barat
SMAS TUNAS HARAPAN,20101606,SMA,Swasta,223,20,Grogol Petamburan,Kota Jakarta Barat
SMAS TRI RATNA,20101608,SMA,Swasta,82,12,Taman Sari,Kota Jakarta Barat
SMAS  TARSISIUS II,20101610,SMA,Swasta,183,15,Kebon Jeruk,Kota Jakarta Barat
SMAS SENTOSA,20101611,SMA,Swasta,18,5,Taman Sari,Kota Jakarta Barat
SMAS 2 SANTO LEO,20101613,SMA,Swasta,188,15,Cengkareng,Kota Jakarta Barat
SMAS SANTO LEO,20101614,SMA,Swasta,48,6,Taman Sari,Kota Jakarta Barat
SMAS 2 SANTO KRISTOFORUS,20101615,SMA,Swasta,454,31,Cengkareng,Kota Jakarta Barat
SMAS TUNAS INDONESIA,20101617,SMA,Swasta,45,9,Kali Deres,Kota Jakarta Barat
SMAS 1 YADIKA,20101619,SMA,Swasta,305,18,Grogol Petamburan,Kota Jakarta Barat
SMAN 33 JAKARTA,20101620,SMA,Negeri,787,41,Cengkareng,Kota Jakarta Barat
SMAN 23 JAKARTA,20101621,SMA,Negeri,704,40,Grogol Petamburan,Kota Jakarta Barat
SMAN 2 JAKARTA,20101622,SMA,Negeri,744,36,Taman Sari,Kota Jakarta Barat
SMAN 19 JAKARTA,20101623,SMA,Negeri,634,29,Tambora,Kota Jakarta Barat
SMAN 17 JAKARTA,20101624,SMA,Negeri,737,35,Taman Sari,Kota Jakarta Barat
SMAN 112 JAKARTA,20101626,SMA,Negeri,823,41,Kembangan,Kota Jakarta Barat
SMAN 101 JAKARTA,20101627,SMA,Negeri,855,45,Kembangan,Kota Jakarta Barat
SMAS YP BDN,20101628,SMA,Swasta,170,13,Grogol Petamburan,Kota Jakarta Barat
SMAS 5 YADIKA,20101629,SMA,Swasta,576,32,Kembangan,Kota Jakarta Barat
SMAN 47 JAKARTA,20102193,SMA,Negeri,896,57,Kebayoran Lama,Kota Jakarta Selatan
SMAN 46 JAKARTA,20102210,SMA,Negeri,1004,46,Kebayoran Baru,Kota Jakarta Selatan
SMAN 43 JAKARTA,20102211,SMA,Negeri,669,33,Setia Budi,Kota Jakarta Selatan
SMAN 38 JAKARTA,20102212,SMA,Negeri,782,41,Jagakarsa,Kota Jakarta Selatan
SMAN 37 JAKARTA,20102213,SMA,Negeri,775,51,Tebet,Kota Jakarta Selatan
SMAN 34 JAKARTA,20102214,SMA,Negeri,898,53,Cilandak,Kota Jakarta Selatan
SMAN 32 JAKARTA,20102215,SMA,Negeri,894,52,Kebayoran Lama,Kota Jakarta Selatan
SMAN 3 JAKARTA,20102216,SMA,Negeri,1005,53,Setia Budi,Kota Jakarta Selatan
SMAN 29 JAKARTA,20102217,SMA,Negeri,784,46,Kebayoran Lama,Kota Jakarta Selatan
SMAN 26 JAKARTA,20102218,SMA,Negeri,671,33,Tebet,Kota Jakarta Selatan
SMAN 109 JAKARTA,20102219,SMA,Negeri,781,46,Jagakarsa,Kota Jakarta Selatan
SMAN 108 JAKARTA,20102230,SMA,Negeri,558,35,Pesanggrahan,Kota Jakarta Selatan
SMAK TIRTAMARTA - BPK PENABUR,20102231,SMA,Swasta,136,15,Kebayoran Lama,Kota Jakarta Selatan
SMAN 97 JAKARTA,20102562,SMA,Negeri,1006,54,Jagakarsa,Kota Jakarta Selatan
SMAN 90 JAKARTA,20102563,SMA,Negeri,1007,61,Pesanggrahan,Kota Jakarta Selatan
SMAN 87 JAKARTA,20102564,SMA,Negeri,708,35,Pesanggrahan,Kota Jakarta Selatan
SMAN 86 JAKARTA,20102565,SMA,Negeri,671,39,Pesanggrahan,Kota Jakarta Selatan
SMAN 82 JAKARTA,20102566,SMA,Negeri,671,41,Kebayoran Baru,Kota Jakarta Selatan
SMAN 8 JAKARTA,20102568,SMA,Negeri,1080,59,Tebet,Kota Jakarta Selatan
SMAN 63 JAKARTA,20102572,SMA,Negeri,672,32,Pesanggrahan,Kota Jakarta Selatan
SMAN 60 JAKARTA,20102573,SMA,Negeri,812,46,Mampang Prapatan,Kota Jakarta Selatan
SMAN RAGUNAN JAKARTA,20102576,SMA,Negeri,394,20,Pasar Minggu,Kota Jakarta Selatan
SMAN 49 JAKARTA,20102592,SMA,Negeri,671,40,Jagakarsa,Kota Jakarta Selatan
SMAS PERGURUAN RAKYAT 2 JAKARTA,20103166,SMA,Swasta,516,27,Duren Sawit,Kota Jakarta Timur
SMAS PERGURUAN RAKYAT 3 JAKARTA,20103167,SMA,Swasta,288,23,Duren Sawit,Kota Jakarta Timur
SMAS PGRI 10 JAKARTA,20103170,SMA,Swasta,31,8,Cakung,Kota Jakarta Timur
SMAS PGRI 24 JAKARTA,20103171,SMA,Swasta,187,18,Cipayung,Kota Jakarta Timur
SMAS PELITA TIGA NO 3 JAKARTA,20103174,SMA,Swasta,224,17,Pulo Gadung,Kota Jakarta Timur
SMAS NURUL HUDA JAKARTA,20103178,SMA,Swasta,17,2,Cakung,Kota Jakarta Timur
SMAS MUHAMMADIYAH 4 JAKARTA,20103179,SMA,Swasta,560,23,Kramat Jati,Kota Jakarta Timur
SMAS MUHAMMADIYAH 23 JAKARTA,20103180,SMA,Swasta,494,29,Duren Sawit,Kota Jakarta Timur
SMAS MUHAMMADIYAH 12 JAKARTA,20103181,SMA,Swasta,338,21,Matraman,Kota Jakarta Timur
SMAS WIJAYA KUSUMA,20103185,SMA,Swasta,347,21,Ciracas,Kota Jakarta Timur
SMAS WIDYA MANGGALA JAKARTA,20103186,SMA,Swasta,259,22,Ciracas,Kota Jakarta Timur
SMAS USWATUN HASANAH JAKARTA,20103189,SMA,Swasta,245,27,Makasar,Kota Jakarta Timur
SMAS TUNAS MARKATIN JAKARTA,20103190,SMA,Swasta,98,12,Pulo Gadung,Kota Jakarta Timur
SMAS TRISOKO JAKARTA,20103191,SMA,Swasta,128,10,Kramat Jati,Kota Jakarta Timur
SMA TELADAN 1 JAKARTA,20103192,SMA,Swasta,113,13,Ciracas,Kota Jakarta Timur
SMAS ST ALEXIUS JAKARTA,20103194,SMA,Swasta,31,8,Duren Sawit,Kota Jakarta Timur
SMAS SAPTA KHARISMA JAKARTA,20103195,SMA,Swasta,42,6,Cakung,Kota Jakarta Timur
SMAS ST ANTONIUS JAKARTA,20103197,SMA,Swasta,256,18,Jatinegara,Kota Jakarta Timur
SMAS PUSAKA 1 JAKARTA,20103200,SMA,Swasta,660,37,Duren Sawit,Kota Jakarta Timur
SMAS MUHAMMADIYAH 11 JAKARTA,20103202,SMA,Swasta,313,26,Pulo Gadung,Kota Jakarta Timur
SMAS DON BOSCO 2 JAKARTA,20103203,SMA,Swasta,315,25,Pulo Gadung,Kota Jakarta Timur
SMAS DIPONEGORO 1 JAKARTA,20103205,SMA,Swasta,569,38,Pulo Gadung,Kota Jakarta Timur
SMAS DEWI SARTIKA YBW JAKARTA,20103208,SMA,Swasta,79,6,Jatinegara,Kota Jakarta Timur
SMAS CORPATARIN JAKARTA,20103210,SMA,Swasta,177,13,Duren Sawit,Kota Jakarta Timur
SMAS CAHAYA SAKTI JAKARTA,20103212,SMA,Swasta,177,16,Jatinegara,Kota Jakarta Timur
SMAS BUDI MULIA UTAMA JAKARTA,20103213,SMA,Swasta,212,15,Duren Sawit,Kota Jakarta Timur
SMAS BUDHI WARMAN 2,20103214,SMA,Swasta,655,41,Pasar Rebo,Kota Jakarta Timur
SMAS BUDHI WARMAN 1,20103215,SMA,Swasta,467,26,Kramat Jati,Kota Jakarta Timur
SMAS FONS VITAE 1 JAKARTA,20103219,SMA,Swasta,462,37,Matraman,Kota Jakarta Timur
SMAS FRANSISKUS 2 JAKARTA,20103220,SMA,Swasta,177,12,Pulo Gadung,Kota Jakarta Timur
SMAS LABSCHOOL JAKARTA,20103223,SMA,Swasta,744,52,Pulo Gadung,Kota Jakarta Timur
SMA KAPIN,20103227,SMA,Swasta,48,9,Duren Sawit,Kota Jakarta Timur
SMAS ISLAM PB SOEDIRMAN,20103230,SMA,Swasta,581,44,Pasar Rebo,Kota Jakarta Timur
SMAS IGN SLAMET RIYADI,20103238,SMA,Swasta,259,21,Pasar Rebo,Kota Jakarta Timur
SMAS YAKE JAKARTA,20103241,SMA,Swasta,224,19,Jatinegara,Kota Jakarta Timur
SMAN 93 JAKARTA,20103258,SMA,Negeri,782,45,Kramat Jati,Kota Jakarta Timur
SMAN 9 JAKARTA,20103279,SMA,Negeri,783,45,Makasar,Kota Jakarta Timur
SMAN 31 JAKARTA,20103281,SMA,Negeri,1145,56,Matraman,Kota Jakarta Timur
SMAN 22 JAKARTA,20103282,SMA,Negeri,923,49,Matraman,Kota Jakarta Timur
SMAN 21 JAKARTA,20103283,SMA,Negeri,819,46,Pulo Gadung,Kota Jakarta Timur
SMAN 14 JAKARTA,20103284,SMA,Negeri,783,47,Kramat Jati,Kota Jakarta Timur
SMAN 113 JAKARTA,20103286,SMA,Negeri,1080,56,Cipayung,Kota Jakarta Timur
SMAN 11 JAKARTA,20103287,SMA,Negeri,671,39,Cakung,Kota Jakarta Timur
SMAN 107 JAKARTA,20103288,SMA,Negeri,742,41,Cakung,Kota Jakarta Timur
SMAN 106 JAKARTA,20103289,SMA,Negeri,783,46,Pasar Rebo,Kota Jakarta Timur
SMAN 105 JAKARTA,20103290,SMA,Negeri,783,41,Ciracas,Kota Jakarta Timur
SMAN 104 JAKARTA,20103291,SMA,Negeri,891,45,Pasar Rebo,Kota Jakarta Timur
SMAN 103 JAKARTA,20103292,SMA,Negeri,747,43,Duren Sawit,Kota Jakarta Timur
SMAN 102 JAKARTA,20103293,SMA,Negeri,780,42,Cakung,Kota Jakarta Timur
SMAN 100 JAKARTA,20103294,SMA,Negeri,670,36,Jatinegara,Kota Jakarta Timur
SMAS YP IPPI JAKARTA,20103295,SMA,Swasta,260,13,Cakung,Kota Jakarta Timur
SMAN 39 JAKARTA,20103296,SMA,Negeri,1156,68,Pasar Rebo,Kota Jakarta Timur
SMAN 42 JAKARTA,20103297,SMA,Negeri,895,48,Makasar,Kota Jakarta Timur
SMAN 44 JAKARTA,20103298,SMA,Negeri,780,51,Duren Sawit,Kota Jakarta Timur
SMAN 89 JAKARTA,20103299,SMA,Negeri,743,46,Cakung,Kota Jakarta Timur
SMAN 88 JAKARTA,20103300,SMA,Negeri,595,36,Pasar Rebo,Kota Jakarta Timur
SMAN 81 JAKARTA,20103301,SMA,Negeri,891,50,Makasar,Kota Jakarta Timur
SMAN 76 JAKARTA,20103302,SMA,Negeri,663,32,Cakung,Kota Jakarta Timur
SMAN 71 JAKARTA,20103303,SMA,Negeri,896,49,Duren Sawit,Kota Jakarta Timur
SMAN 67 JAKARTA,20103304,SMA,Negeri,896,53,Makasar,Kota Jakarta Timur
SMAN 64 JAKARTA,20103305,SMA,Negeri,785,43,Cipayung,Kota Jakarta Timur
SMAN 61 JAKARTA,20103307,SMA,Negeri,744,46,Duren Sawit,Kota Jakarta Timur
SMAN 58 JAKARTA,20103309,SMA,Negeri,896,49,Ciracas,Kota Jakarta Timur
SMAN 54 JAKARTA,20103310,SMA,Negeri,894,57,Jatinegara,Kota Jakarta Timur
SMAN 53 JAKARTA,20103311,SMA,Negeri,783,43,Jatinegara,Kota Jakarta Timur
SMAN 51 JAKARTA,20103312,SMA,Negeri,893,48,Kramat Jati,Kota Jakarta Timur
SMAN 50 JAKARTA,20103313,SMA,Negeri,783,46,Jatinegara,Kota Jakarta Timur
SMAN 48 JAKARTA,20103314,SMA,Negeri,896,46,Makasar,Kota Jakarta Timur
SMAS BINA PANGUDI LUHUR JAKARTA,20103316,SMA,Swasta,242,15,Matraman,Kota Jakarta Timur
SMAS ANGKASA 2 H PERDANAKUSUMA,20103425,SMA,Swasta,866,40,Makasar,Kota Jakarta Timur
SMAS ANGKASA 1 H PERDANAKUSUMA,20103426,SMA,Swasta,578,36,Makasar,Kota Jakarta Timur
SMAS AL GHURABAA JAKARTA,20103428,SMA,Swasta,92,9,Pulo Gadung,Kota Jakarta Timur
SMAS ADI LUHUR JAKARTA,20103429,SMA,Swasta,225,22,Kramat Jati,Kota Jakarta Timur
SMAS PSKD II JAKARTA,20103430,SMA,Swasta,20,9,Matraman,Kota Jakarta Timur
SMAS AL KAMAL,20104405,SMA,Swasta,238,17,Kebon Jeruk,Kota Jakarta Barat
SMAS BUKIT SION,20104407,SPK SMA,Swasta,224,16,Kembangan,Kota Jakarta Barat
SMAS CAHAYA FADILAH,20104409,SMA,Swasta,388,27,Cengkareng,Kota Jakarta Barat
SMAS  GLOBAL SEVILLA PURI INDAH,20104410,SPK SMA,Swasta,49,9,Kembangan,Kota Jakarta Barat
SMAS DHARMA JAYA,20104412,SMA,Swasta,75,7,Grogol Petamburan,Kota Jakarta Barat
SMAS DIAN HARAPAN,20104413,SMA,Swasta,493,36,Kali Deres,Kota Jakarta Barat
SMAS DIAN KASIH,20104414,SMA,Swasta,65,11,Kali Deres,Kota Jakarta Barat
SMAS JOSUA,20104417,SMA,Swasta,37,0,Palmerah,Kota Jakarta Barat
SMAS KRISTEN TIARA KASIH,20104419,SMA,Swasta,180,14,Kali Deres,Kota Jakarta Barat
SMAS KATOLIK ABDI SISWA,20104421,SMA,Swasta,122,15,Kebon Jeruk,Kota Jakarta Barat
SMAS KATHOLIK BINTANG KEJORA,20104422,SMA,Swasta,92,14,Cengkareng,Kota Jakarta Barat
SMAK IPEKA INTEGRATED CHRISTIAN SCHOOL,20104423,SPK SMA,Swasta,191,20,Kembangan,Kota Jakarta Barat
SMAS KRISTEN IPEKA TOMANG,20104424,SMA,Swasta,301,28,Kebon Jeruk,Kota Jakarta Barat
SMAS KRISTEN IMANUEL,20104425,SMA,Swasta,80,9,Grogol Petamburan,Kota Jakarta Barat
SMAS 2 KRISTEN KALAM KUDUS,20104426,SMA,Swasta,162,12,Cengkareng,Kota Jakarta Barat
SMAS PETRA,20104430,SMA,Swasta,14,4,Kembangan,Kota Jakarta Barat
SMAS KATOLIK SANG TIMUR,20104432,SMA,Swasta,465,35,Kebon Jeruk,Kota Jakarta Barat
SMAS MUHAMMADIYAH 15,20104433,SMA,Swasta,464,20,Palmerah,Kota Jakarta Barat
SMAS PELITA IV,20104436,SMA,Swasta,46,10,Tambora,Kota Jakarta Barat
SMAS SUMPAH PEMUDA,20104438,SMA,Swasta,275,11,Kembangan,Kota Jakarta Barat
SMAN 69 JAKARTA,20107185,SMA,Negeri,540,35,Kepulauan Seribu Utara,Kab. Kepulauan Seribu
SMAS AL FALAH,20107187,SMA,Swasta,28,2,Cipayung,Kota Jakarta Timur
SMAS IT AL HALIMIYAH JAKARTA,20107191,SMA,Swasta,222,15,Duren Sawit,Kota Jakarta Timur
SMAS KATOLIK NUSA MELATI,20107193,SMA,Swasta,28,1,Cipayung,Kota Jakarta Timur
SMAS NAHDLATUL WATHAN,20107194,SMA,Swasta,94,7,Cakung,Kota Jakarta Timur
SMAS PRATAMA,20107199,SMA,Swasta,28,3,Ciracas,Kota Jakarta Timur
SMA ACS JAKARTA,20107232,SPK SMA,Swasta,195,14,Cipayung,Kota Jakarta Timur
SMAS BUDI MULIA JAKARTA,20107249,SMA,Swasta,570,32,Sawah Besar,Kota Jakarta Pusat
SMA Perkumpulan Mandiri,20107250,SMA,Swasta,39,15,Menteng,Kota Jakarta Pusat
SMAS AL CHASANAH,20107269,SMA,Swasta,212,14,Grogol Petamburan,Kota Jakarta Barat
SMAS 17 AGUSTUS 45 JAKARTA,20107274,SMA,Swasta,364,21,Tebet,Kota Jakarta Selatan
SMAS 28 OKTOBER 1928,20107275,SMA,Swasta,66,14,Mampang Prapatan,Kota Jakarta Selatan
SMAS AL AZHAR SYIFA BUDI,20107276,SMA,Swasta,53,14,Mampang Prapatan,Kota Jakarta Selatan
SMAS AL IZHAR JAKARTA,20107277,SMA,Swasta,452,46,Cilandak,Kota Jakarta Selatan
SMAS ASISI JAKARTA,20107278,SMA,Swasta,141,18,Tebet,Kota Jakarta Selatan
SMAS BAKTI MULYA 400,20107281,SMA,Swasta,159,18,Kebayoran Lama,Kota Jakarta Selatan
SMA AL-KAUTSAR,20107284,SMA,Swasta,22,2,Kebayoran Baru,Kota Jakarta Selatan
SMA BUNDA KANDUNG JAKARTA,20107287,SMA,Swasta,255,18,Pasar Minggu,Kota Jakarta Selatan
SMA CHARITAS,20107289,SMA,Swasta,258,20,Cilandak,Kota Jakarta Selatan
SMAS DEWI SARTIKA,20107294,SMA,Swasta,167,17,Tebet,Kota Jakarta Selatan
SMAS GITA KIRTTI 3 JAKARTA,20107298,SMA,Swasta,124,12,Kebayoran Baru,Kota Jakarta Selatan
SMAS HANG TUAH 1 JAKARTA,20107300,SMA,Swasta,566,36,Kebayoran Lama,Kota Jakarta Selatan
SMAS HARNASTO INSTITUT JAKARTA,20107301,SMA,Swasta,11,4,Kebayoran Lama,Kota Jakarta Selatan
SMAS IS AVICENA,20107302,SMA,Swasta,176,16,Jagakarsa,Kota Jakarta Selatan
SMAS ISLAM HARAPAN IBU,20107303,SMA,Swasta,90,11,Kebayoran Lama,Kota Jakarta Selatan
SMA ISLAM AL-AZHAR 2 JAKARTA,20107305,SMA,Swasta,285,26,Pasar Minggu,Kota Jakarta Selatan
SMAS ISLAM AL-AZHAR 3 JAKARTA,20107306,SMA,Swasta,495,34,Kebayoran Baru,Kota Jakarta Selatan
SMAS KARTIKA X-1,20107308,SMA,Swasta,647,31,Pesanggrahan,Kota Jakarta Selatan
SMAS KARTIKA VIII-1 JAKARTA,20107309,SMA,Swasta,416,21,Jagakarsa,Kota Jakarta Selatan
SMAS KELUARGA WIDURI JAKARTA,20107310,SMA,Swasta,148,15,Cilandak,Kota Jakarta Selatan
SMA KEMALA BHAYANGKARI 1,20107311,SMA,Swasta,507,22,Pasar Minggu,Kota Jakarta Selatan
SMAS KHARISMAWITA JAKARTA,20107312,SMA,Swasta,76,7,Jagakarsa,Kota Jakarta Selatan
SMA LABSCHOOL KEBAYORAN,20107313,SMA,Swasta,826,46,Kebayoran Baru,Kota Jakarta Selatan
SMA MUHAMMADIYAH 3 JAKARTA,20107314,SMA,Swasta,606,39,Kebayoran Baru,Kota Jakarta Selatan
SMAS MUHAMMADIYAH 18 JAKARTA,20107315,SMA,Swasta,311,26,Kebayoran Lama,Kota Jakarta Selatan
SMAS MUHAMMADIYAH 5 JAKARTA,20107317,SMA,Swasta,366,20,Tebet,Kota Jakarta Selatan
SMAS MUTTAQIEN JAKARTA,20107318,SMA,Swasta,89,12,Tebet,Kota Jakarta Selatan
SMAN 28 JAKARTA,20107319,SMA,Negeri,784,45,Pasar Minggu,Kota Jakarta Selatan
SMAS PANGUDI LUHUR JAKARTA,20107322,SMA,Swasta,238,19,Kebayoran Baru,Kota Jakarta Selatan
SMAS PATTIMURA JAKARTA,20107323,SMA,Swasta,64,6,Jagakarsa,Kota Jakarta Selatan
SMAS PSKD 4 JAKARTA,20107327,SMA,Swasta,65,12,Kebayoran Baru,Kota Jakarta Selatan
SMAS PURNAMA JAKARTA,20107328,SMA,Swasta,43,9,Kebayoran Baru,Kota Jakarta Selatan
SMAS SERUNI DON BOSCO,20107330,SMA,Swasta,54,10,Cilandak,Kota Jakarta Selatan
SMAS SULUH JAKARTA,20107331,SMA,Swasta,733,46,Pasar Minggu,Kota Jakarta Selatan
SMA TARAKANITA 1 JAKARTA,20107334,SMA,Swasta,261,24,Kebayoran Baru,Kota Jakarta Selatan
SMAS TRIGUNA JAKARTA,20107336,SMA,Swasta,267,20,Kebayoran Baru,Kota Jakarta Selatan
SMAS YAPERJASA,20107338,SMA,Swasta,186,14,Jagakarsa,Kota Jakarta Selatan
SMAS YASPORBI 1 JAKARTA,20107340,SMA,Swasta,178,22,Tebet,Kota Jakarta Selatan
SMAS YMIK 2 JAKARTA,20107342,SMA,Swasta,332,21,Tebet,Kota Jakarta Selatan
SMAS AL JIHAD JAKARTA,20107367,SMA,Swasta,176,11,Tanjung Priok,Kota Jakarta Utara
SMAS AL KHAIRIYAH JAKARTA,20107368,SMA,Swasta,302,18,Koja,Kota Jakarta Utara
SMAS AL MUHAJIRIN JAKARTA,20107369,SMA,Swasta,134,9,Koja,Kota Jakarta Utara
SMA BINA TUNAS BANGSA,20107370,SPK SMA,Swasta,121,6,Penjaringan,Kota Jakarta Utara
SMAS CHANDRA KUSUMA JAKARTA,20107372,SMA,Swasta,21,7,Penjaringan,Kota Jakarta Utara
SMA DARMA SATRIA PERSADA,20107374,SMA,Swasta,119,10,Penjaringan,Kota Jakarta Utara
SMAS DHARMA SUCI JAKARTA,20107375,SMA,Swasta,200,16,Penjaringan,Kota Jakarta Utara
SMAS GIDEON JAKARTA,20107376,SMA,Swasta,57,4,Tanjung Priok,Kota Jakarta Utara
SMAS GITA KIRTI 2,20107377,SMA,Swasta,77,7,Tanjung Priok,Kota Jakarta Utara
SMAS HARAPAN KASIH JAKARTA,20107378,SMA,Swasta,114,7,Penjaringan,Kota Jakarta Utara
SMAS JUBILEE,20107380,SMA,Swasta,292,29,Tanjung Priok,Kota Jakarta Utara
SMAS KRISTEN IPEKA PLUIT,20107382,SMA,Swasta,229,20,Penjaringan,Kota Jakarta Utara
SMAS KRISTEN IPEKA SUNTER,20107383,SMA,Swasta,360,32,Tanjung Priok,Kota Jakarta Utara
SMAS KRISTEN TUNAS BANGSA,20107384,SMA,Swasta,156,15,Tanjung Priok,Kota Jakarta Utara
SMAS LAPHAT PLUS,20107385,SMA,Swasta,35,6,Koja,Kota Jakarta Utara
SMAS PERMATA INDAH JAKARTA,20107389,SMA,Swasta,142,12,Penjaringan,Kota Jakarta Utara
SMAS SAINT PETER,20107390,SMA,Swasta,51,17,Kelapa Gading,Kota Jakarta Utara
SMAS SANTO LUKAS 1 JAKARTA,20107391,SMA,Swasta,161,11,Tanjung Priok,Kota Jakarta Utara
SMAS STELLA MARIS JAKARTA,20107393,SMA,Swasta,71,9,Penjaringan,Kota Jakarta Utara
SMAS ST MARIA DELLA STRADA,20107394,SMA,Swasta,130,13,Pademangan,Kota Jakarta Utara
SMAS WIJAYA JAKARTA,20107397,SMA,Swasta,119,11,Tanjung Priok,Kota Jakarta Utara
SMAS WIJAYA KUSUMA JAKARTA,20107398,SMA,Swasta,133,13,Penjaringan,Kota Jakarta Utara
SMAS YANIIC JAKARTA,20107399,SMA,Swasta,103,5,Cilincing,Kota Jakarta Utara
SMAS GLOBAL ISLAMIC SCHOOL,20107589,SMA,Swasta,291,27,Kramat Jati,Kota Jakarta Timur
SMAS SANTA URSULA,20108383,SMA,Swasta,704,41,Sawah Besar,Kota Jakarta Pusat
SMAS ADVENT 1 JAKARTA,20108498,SMA,Swasta,102,14,Senen,Kota Jakarta Pusat
SMAS DWISAKA JAKARTA,20108499,SMA,Swasta,31,13,Menteng,Kota Jakarta Pusat
SMAS HATI SUCI,20108501,SMA,Swasta,27,9,Tanah Abang,Kota Jakarta Pusat
SMAS ISLAM SAID NA UM JAKARTA,20108502,SMA,Swasta,216,22,Tanah Abang,Kota Jakarta Pusat
SMAS MUTIARA BANGSA 3,20109062,SMA,Swasta,121,19,Grogol Petamburan,Kota Jakarta Barat
SMAS MARIE JOSEPH,20109180,SMA,Swasta,142,18,Kelapa Gading,Kota Jakarta Utara
SMAS KASIH KARUNIA,20109326,SMA,Swasta,36,5,Cengkareng,Kota Jakarta Barat
SMAS KRISTEN IPEKA PURI INDAH,20109467,SMA,Swasta,447,27,Kembangan,Kota Jakarta Barat
SMAS ISLAM AL-MARUF,20109491,SMA,Swasta,259,24,Ciracas,Kota Jakarta Timur
SMAS HIGH SCOPE,20109513,SPK SMA,Swasta,228,15,Cilandak,Kota Jakarta Selatan
SMAS INTERNATIONAL ISLAMIC HIGH SCHOOL (IIHS),20109516,SMA,Swasta,178,14,Setia Budi,Kota Jakarta Selatan
SMA SIS KELAPA GADING,20109560,SMA,Swasta,113,13,Kelapa Gading,Kota Jakarta Utara
SMA SIS PIK,20109561,SMA,Swasta,77,8,Penjaringan,Kota Jakarta Utara
SMAN UNGGULAN M.H. THAMRIN,20109933,SMA,Negeri,264,26,Cipayung,Kota Jakarta Timur
SMAS CINTA KASIH TZU CHI,20109971,SMA,Swasta,288,22,Cengkareng,Kota Jakarta Barat
